IDSensorAgent,MeasuredDepth,TrueDepth,Temperature,DangerTemp,CriticalTemp,ShutdownTemp,Ticks
2,40.19700000000004,34.81163204478212,31.044348938000446,122.0,137.0,151.0,15.0
1,50.19700000000004,43.471888293950485,31.30415661966834,103.0,139.0,151.0,15.0
2,40.210133333333374,34.823005847989364,31.044690152089036,122.0,137.0,151.0,16.0
4,20.210133333333317,17.50249334965258,30.52507478875324,120.0,139.0,150.0,16.0
3,30.210133333333317,26.162749598820948,30.784882470421138,114.0,137.0,153.0,16.0
1,50.210133333333374,43.483262097157734,31.304497833756933,103.0,139.0,151.0,16.0
3,30.22326666666665,26.174123402028187,30.785223684509727,114.0,137.0,153.0,17.0
4,20.22326666666665,17.51386715285982,30.52541600284183,120.0,139.0,150.0,17.0
2,40.22326666666671,34.834379651196606,31.045031366177625,122.0,137.0,151.0,17.0
1,50.22326666666671,43.494635900364976,31.304839047845523,103.0,139.0,151.0,17.0
2,40.236400000000046,34.84575345440385,31.045372580266218,122.0,137.0,151.0,18.0
3,30.236399999999982,26.18549720523543,30.78556489859832,114.0,137.0,153.0,18.0
4,20.236399999999982,17.52524095606706,30.525757216930423,120.0,139.0,150.0,18.0
1,50.236400000000046,43.50600970357222,31.305180261934115,103.0,139.0,151.0,18.0
4,20.249533333333314,17.5366147592743,30.52609843101901,120.0,139.0,150.0,19.0
2,40.24953333333338,34.8571272576111,31.045713794354807,122.0,137.0,151.0,19.0
1,50.24953333333338,43.51738350677946,31.305521476022705,103.0,139.0,151.0,19.0
3,30.249533333333314,26.196871008442667,30.78590611268691,114.0,137.0,153.0,19.0
1,50.26266666666672,43.5287573099867,31.305862690111294,103.0,139.0,151.0,20.0
3,30.262666666666647,26.20824481164991,30.7862473267755,114.0,137.0,153.0,20.0
2,40.26266666666672,34.86850106081834,31.0460550084434,122.0,137.0,151.0,20.0
4,20.262666666666647,17.54798856248154,30.526439645107605,120.0,139.0,150.0,20.0
3,30.27579999999998,26.219618614857147,30.78658854086409,114.0,137.0,153.0,21.0
1,50.275800000000054,43.54013111319395,31.306203904199887,103.0,139.0,151.0,21.0
2,40.275800000000054,34.87987486402558,31.04639622253199,122.0,137.0,151.0,21.0
4,20.27579999999998,17.55936236568878,30.526780859196194,120.0,139.0,150.0,21.0
2,40.28893333333339,34.89124866723282,31.046737436620578,122.0,137.0,151.0,22.0
1,50.28893333333339,43.55150491640119,31.306545118288476,103.0,139.0,151.0,22.0
3,30.28893333333331,26.23099241806439,30.78692975495268,114.0,137.0,153.0,22.0
4,20.28893333333331,17.570736168896023,30.527122073284783,120.0,139.0,150.0,22.0
4,20.302066666666644,17.58210997210326,30.527463287373376,120.0,139.0,150.0,23.0
3,30.302066666666644,26.242366221271627,30.78727096904127,114.0,137.0,153.0,23.0
2,40.302066666666725,34.902622470440065,31.04707865070917,122.0,137.0,151.0,23.0
1,50.302066666666725,43.562878719608435,31.306886332377065,103.0,139.0,151.0,23.0
3,30.315199999999976,26.25374002447887,30.787612183129863,114.0,137.0,153.0,24.0
1,50.31520000000006,43.57425252281568,31.307227546465658,103.0,139.0,151.0,24.0
4,20.315199999999976,17.593483775310503,30.527804501461965,120.0,139.0,150.0,24.0
2,40.31520000000006,34.913996273647314,31.04741986479776,122.0,137.0,151.0,24.0
1,50.3283333333334,43.58562632602292,31.307568760554247,103.0,139.0,151.0,25.0
2,40.3283333333334,34.925370076854556,31.04776107888635,122.0,137.0,151.0,25.0
4,20.32833333333331,17.60485757851774,30.528145715550554,120.0,139.0,150.0,25.0
3,30.32833333333331,26.26511382768611,30.787953397218452,114.0,137.0,153.0,25.0
1,50.34146666666673,43.59700012923017,31.30790997464284,103.0,139.0,151.0,26.0
2,40.34146666666673,34.9367438800618,31.048102292974942,122.0,137.0,151.0,26.0
