IDSensorAgent,MeasuredDepth,TrueDepth,Temperature,DangerTemp,CriticalTemp,ShutdownTemp,Ticks
4,20.90619999999993,18.105304919636314,30.543159135448537,120.0,139.0,150.0,69.0
4,20.919333333333263,18.116678722843552,30.543500349537126,120.0,139.0,150.0,70.0
4,20.932466666666596,18.128052526050794,30.54384156362572,120.0,139.0,150.0,71.0
4,20.945599999999928,18.139426329258033,30.54418277771431,120.0,139.0,150.0,72.0
4,20.95873333333326,18.150800132465275,30.544523991802897,120.0,139.0,150.0,73.0
4,20.971866666666592,18.162173935672513,30.54486520589149,120.0,139.0,150.0,74.0
4,20.984999999999925,18.173547738879755,30.54520641998008,120.0,139.0,150.0,75.0
4,20.998133333333257,18.184921542086993,30.54554763406867,120.0,139.0,150.0,76.0
4,21.01126666666659,18.196295345294235,30.54588884815726,120.0,139.0,150.0,77.0
4,21.024399999999922,18.207669148501473,30.54623006224585,120.0,139.0,150.0,78.0
4,21.037533333333254,18.219042951708715,30.54657127633444,120.0,139.0,150.0,79.0
4,21.050666666666586,18.230416754915957,30.546912490423033,120.0,139.0,150.0,80.0
4,21.06379999999992,18.241790558123196,30.547253704511622,120.0,139.0,150.0,81.0
4,21.07693333333325,18.253164361330438,30.54759491860021,120.0,139.0,150.0,82.0
4,21.090066666666583,18.264538164537676,30.547936132688804,120.0,139.0,150.0,83.0
4,21.103199999999916,18.275911967744918,30.548277346777393,120.0,139.0,150.0,84.0
4,21.116333333333248,18.287285770952156,30.548618560865982,120.0,139.0,150.0,85.0
4,21.12946666666658,18.298659574159398,30.548959774954575,120.0,139.0,150.0,86.0
4,21.142599999999913,18.310033377366636,30.549300989043164,120.0,139.0,150.0,87.0
4,21.155733333333245,18.32140718057388,30.549642203131757,120.0,139.0,150.0,88.0
4,21.168866666666577,18.332780983781117,30.549983417220346,120.0,139.0,150.0,89.0
4,21.18199999999991,18.34415478698836,30.550324631308936,120.0,139.0,150.0,90.0
4,21.195133333333242,18.355528590195597,30.55066584539753,120.0,139.0,150.0,91.0
4,21.208266666666574,18.36690239340284,30.551007059486118,120.0,139.0,150.0,92.0
4,21.221399999999907,18.37827619661008,30.551348273574707,120.0,139.0,150.0,93.0
4,21.23453333333324,18.38964999981732,30.5516894876633,120.0,139.0,150.0,94.0
4,21.24766666666657,18.40102380302456,30.55203070175189,120.0,139.0,150.0,95.0
4,21.260799999999904,18.4123976062318,30.552371915840478,120.0,139.0,150.0,96.0
4,21.273933333333236,18.42377140943904,30.55271312992907,120.0,139.0,150.0,97.0
4,21.28706666666657,18.43514521264628,30.55305434401766,120.0,139.0,150.0,98.0
4,21.3001999999999,18.44651901585352,30.55339555810625,120.0,139.0,150.0,99.0
4,21.313333333333233,18.45789281906076,30.553736772194842,120.0,139.0,150.0,100.0
4,21.326466666666565,18.469266622268,30.55407798628343,120.0,139.0,150.0,101.0
4,21.339599999999898,18.48064042547524,30.55441920037202,120.0,139.0,150.0,102.0
4,21.35273333333323,18.492014228682482,30.554760414460613,120.0,139.0,150.0,103.0
4,21.365866666666562,18.50338803188972,30.555101628549203,120.0,139.0,150.0,104.0
4,21.378999999999895,18.514761835096962,30.555442842637795,120.0,139.0,150.0,105.0
4,21.392133333333227,18.5261356383042,30.555784056726385,120.0,139.0,150.0,106.0
4,21.40526666666656,18.537509441511443,30.556125270814974,120.0,139.0,150.0,107.0
4,21.41839999999989,18.548883244718684,30.556466484903567,120.0,139.0,150.0,108.0
4,21.431533333333224,18.560257047925923,30.556807698992156,120.0,139.0,150.0,109.0
4,21.444666666666556,18.571630851133165,30.557148913080745,120.0,139.0,150.0,110.0
4,21.45779999999989,18.583004654340403,30.557490127169338,120.0,139.0,150.0,111.0
4,21.47093333333322,18.594378457547645,30.557831341257927,120.0,139.0,150.0,112.0
4,21.484066666666553,18.605752260754883,30.558172555346516,120.0,139.0,150.0,113.0
4,21.497199999999886,18.617126063962125,30.55851376943511,120.0,139.0,150.0,114.0
4,21.510333333333218,18.628499867169364,30.558854983523698,120.0,139.0,150.0,115.0
4,21.52346666666655,18.639873670376605,30.559196197612287,120.0,139.0,150.0,116.0
4,21.536599999999883,18.651247473583844,30.55953741170088,120.0,139.0,150.0,117.0
4,21.549733333333215,18.662621276791086,30.55987862578947,120.0,139.0,150.0,118.0
4,21.562866666666547,18.673995079998324,30.56021983987806,120.0,139.0,150.0,119.0
4,21.57599999999988,18.685368883205566,30.56056105396665,120.0,139.0,150.0,120.0
4,21.589133333333212,18.696742686412808,30.56090226805524,120.0,139.0,150.0,121.0
